,x_ego,y_ego,v_ego,a_ego,yaw_ego,width_ego,length_ego,x_1,y_1,v_1,a_1,yaw_1,width_1,length_1,x_2,y_2,v_2,a_2,yaw_2,width_2,length_2,x_3,y_3,v_3,a_3,yaw_3,width_3,length_3,x_4,y_4,v_4,a_4,yaw_4,width_4,length_4,x_5,y_5,v_5,a_5,yaw_5,width_5,length_5,x_6,y_6,v_6,a_6,yaw_6,width_6,length_6,x_7,y_7,v_7,a_7,yaw_7,width_7,length_7,end
0.39999999999999997,155.18095038106196,-5.994976718999708,25.91,0,7.256659031554714e-63,2.73,6.87,418.04,-10.68,24.75,0.0,0.0,2.5,16.98,181.66,-6.5,24.25,6.25,0.0,2.5,16.88,168.21,-10.74,24.25,-6.25,6.273,2.5,19.2,175.6,-2.88,34.75,-6.25,0.0,1.92,3.03,24.43,-2.62,34.0,0.0,0.0,1.82,4.45,8.56,-10.56,24.2,0.0,0.0,2.5,17.08,-28.58,-6.65,30.9,0.0,0.0,1.82,4.75,-1
0.43999999999999995,156.21735038106195,-5.994976718999708,25.91,0,7.001786982730423e-69,2.73,6.87,419.03,-10.68,24.75,0.0,0.0,2.5,16.98,182.63,-6.5,24.5,-6.25,0.0,2.5,16.88,169.18,-10.75,24.0,0.0,0.0,2.5,19.2,176.99,-2.88,34.5,0.0,0.0,1.92,3.03,25.79,-2.62,34.0,0.0,0.0,1.82,4.45,9.53,-10.56,24.2,0.0,0.0,2.5,17.08,-27.34,-6.65,30.9,0.0,0.0,1.82,4.75,-1
0.4799999999999999,157.25375038106193,-5.994976718999708,25.91,0,6.755866678321735e-75,2.73,6.87,420.02,-10.68,24.75,0.0,0.0,2.5,16.98,183.61,-6.5,24.25,6.25,0.0,2.5,16.88,170.14,-10.75,24.0,-6.25,0.0,2.5,19.2,178.38,-2.88,34.5,0.0,0.0,1.92,3.03,27.15,-2.62,34.0,6.25,0.0,1.82,4.45,10.5,-10.56,24.2,0.0,0.0,2.5,17.08,-26.11,-6.65,30.9,0.0,0.0,1.82,4.75,-1
0.5199999999999999,158.29015038106192,-5.994976718999708,25.91,0,6.518583711954837e-81,2.73,6.87,421.01,-10.68,24.75,0.0,0.0,2.5,16.98,184.58,-6.5,24.5,6.25,0.0,2.5,16.88,171.1,-10.75,23.75,6.25,0.0,2.5,19.2,179.75,-2.88,34.5,6.25,0.0,1.92,3.03,28.51,-2.62,34.25,-6.25,6.276,1.82,4.45,11.46,-10.56,24.2,0.0,0.0,2.5,17.08,-24.87,-6.65,30.9,0.0,0.0,1.82,4.75,-1
0.5599999999999999,159.3265503810619,-5.994976718999708,25.91,0,6.28963471878368e-87,2.73,6.87,422.0,-10.68,24.75,0.0,0.0,2.5,16.98,185.56,-6.5,24.75,0.0,0.0,2.5,16.88,172.05,-10.75,24.0,0.0,0.0,2.5,19.2,181.13,-2.88,34.75,-6.25,6.276,1.92,3.03,29.88,-2.63,34.0,0.0,0.0,1.82,4.45,12.43,-10.56,24.2,-48.75,0.0,2.5,17.08,-23.64,-6.65,30.9,0.0,0.0,1.82,4.75,-1
0.6,160.3629503810619,-5.994976718999708,25.91,0,6.068726986622369e-93,2.73,6.87,422.99,-10.68,24.75,0.0,0.0,2.5,16.98,186.55,-6.5,24.75,0.0,0.01,2.5,16.88,173.01,-10.75,24.0,0.0,0.0,2.5,19.2,182.52,-2.89,34.5,0.0,0.0,1.92,3.03,31.24,-2.63,34.0,0.0,0.0,1.82,4.45,13.4,-10.56,22.25,12.5,6.272,2.5,17.08,-22.4,-6.65,30.9,0.0,0.0,1.82,4.75,-1
0.64,161.39935038106188,-5.994976718999708,25.91,0,5.855578087818873e-99,2.73,6.87,423.98,-10.68,24.75,0.0,0.0,2.5,16.98,187.54,-6.49,24.75,0.0,0.0,2.5,16.88,173.97,-10.75,24.0,0.0,0.0,2.5,19.2,183.9,-2.89,34.5,6.25,0.0,1.92,3.03,32.59,-2.63,34.0,6.25,0.0,1.82,4.45,14.29,-10.57,22.75,12.5,0.0,2.5,17.08,-21.16,-6.65,30.9,0.0,0.0,1.82,4.75,-1
0.68,162.43575038106187,-5.994976718999708,25.91,0,5.649915512077933e-105,2.73,6.87,424.97,-10.68,24.75,0.0,0.0,2.5,16.98,188.53,-6.49,24.75,-12.5,0.0,2.5,16.88,174.93,-10.75,24.0,0.0,0.0,2.5,19.2,185.28,-2.89,34.75,-6.25,0.0,1.92,3.03,33.95,-2.63,34.25,-6.25,0.0,1.82,4.45,15.2,-10.57,23.25,6.25,0.0,2.5,17.08,-19.93,-6.65,30.9,0.0,0.0,1.82,4.75,-1
0.7200000000000001,163.47215038106185,-5.994976718999708,25.91,0,5.45147632204718e-111,2.73,6.87,425.96,-10.68,24.75,0.0,0.0,2.5,16.98,189.52,-6.49,24.25,-6.25,0.0,2.5,16.88,175.89,-10.75,24.0,6.25,0.0,2.5,19.2,186.67,-2.89,34.5,0.0,0.0,1.92,3.03,35.33,-2.63,34.0,12.5,0.0,1.82,4.45,16.13,-10.57,23.5,6.25,0.0,2.5,17.08,-18.69,-6.65,30.9,0.0,0.0,1.82,4.75,-1
0.7600000000000001,164.50855038106184,-5.994976718999708,25.91,0,5.260006814179328e-117,2.73,6.87,426.95,-10.68,24.75,0.0,0.0,2.5,16.98,190.49,-6.49,24.0,-12.5,0.01,2.5,16.88,176.85,-10.75,24.25,-6.25,0.0,2.5,19.2,188.05,-2.89,34.5,-6.25,0.0,1.92,3.03,36.69,-2.63,34.5,-18.75,0.0,1.82,4.45,17.07,-10.57,23.75,0.0,6.273,2.5,17.08,-17.46,-6.65,30.9,0.0,0.0,1.82,4.75,-1
0.8000000000000002,165.54495038106182,-5.994976718999708,25.91,0,5.075262194978645e-123,2.73,6.87,427.94,-10.68,24.75,0.0,0.0,2.5,16.98,191.45,-6.48,23.5,6.25,0.0,2.5,16.88,177.82,-10.75,24.0,0.0,0.0,2.5,19.2,189.43,-2.89,34.25,6.25,0.0,1.92,3.03,38.07,-2.63,33.75,6.25,0.0,1.82,4.45,18.02,-10.58,23.75,0.0,0.0,2.5,17.08,-16.22,-6.65,30.9,0.0,0.0,1.82,4.75,-1
0.8400000000000002,166.5813503810618,-5.994976718999708,25.91,0,4.8970062698413324e-129,2.73,6.87,428.93,-10.68,24.75,0.0,0.0,2.5,16.98,192.39,-6.48,23.75,18.75,0.0,2.5,16.88,178.78,-10.75,24.0,6.25,0.0,2.5,19.2,190.8,-2.89,34.5,0.0,0.0,1.92,3.03,39.41,-2.63,34.0,-6.25,6.276,1.82,4.45,18.97,-10.58,23.75,0.0,0.0,2.5,17.08,-14.98,-6.65,30.9,0.0,0.0,1.82,4.75,-1
0.8800000000000002,167.6177503810618,-5.994976718999708,25.91,0,4.7250111385514804e-135,2.73,6.87,429.92,-10.68,24.75,0.0,0.0,2.5,16.98,193.34,-6.48,24.5,0.0,0.01,2.5,16.88,179.74,-10.75,24.25,0.0,0.0,2.5,19.2,192.18,-2.89,34.5,12.5,0.0,1.92,3.03,40.77,-2.64,33.75,0.0,0.0,1.82,4.45,19.92,-10.58,23.75,0.0,0.0,2.5,17.08,-13.75,-6.65,30.9,0.0,0.0,1.82,4.75,-1
0.9200000000000003,168.65415038106178,-5.994976718999708,25.91,0,4.5590569081493177e-141,2.73,6.87,430.91,-10.68,24.75,0.0,0.0,2.5,16.98,194.32,-6.47,24.5,0.0,0.0,2.5,16.88,180.71,-10.75,24.25,0.0,0.0,2.5,19.2,193.56,-2.89,35.0,-6.25,0.0,1.92,3.03,42.12,-2.64,33.75,6.25,0.0,1.82,4.45,20.87,-10.58,23.75,18.75,6.273,2.5,17.08,-12.51,-6.65,30.9,0.0,0.0,1.82,4.75,-1
0.9600000000000003,169.69055038106177,-5.994976718999708,25.91,0,4.398931404982657e-147,2.73,6.87,431.9,-10.68,24.75,0.0,0.0,2.5,16.98,195.3,-6.47,24.5,12.5,0.0,2.5,16.88,181.68,-10.75,24.25,0.0,0.0,2.5,19.2,194.96,-2.89,34.75,0.0,0.0,1.92,3.03,43.48,-2.64,34.0,0.0,0.0,1.82,4.45,21.82,-10.59,24.5,0.0,0.0,2.5,17.08,-11.28,-6.65,30.9,0.0,0.0,1.82,4.75,-1
1.0000000000000002,170.72695038106176,-5.994976718999708,25.91,0,4.244429911762484e-153,2.73,6.87,432.89,-10.68,24.75,0.0,0.0,2.5,16.98,196.28,-6.47,25.0,-6.25,0.01,2.5,16.88,182.65,-10.75,24.25,6.25,0.0,2.5,19.2,196.35,-2.89,34.75,0.0,0.007,1.92,3.03,44.84,-2.64,34.0,0.0,0.0,1.82,4.45,22.8,-10.59,24.5,0.0,0.0,2.5,17.08,-10.04,-6.65,30.9,0.0,0.0,1.82,4.75,-1
1.0400000000000003,171.76335038106174,-5.994976718999708,25.91,0,4.095354898169356e-159,2.73,6.87,433.88,-10.68,24.75,0.0,0.0,2.5,16.98,197.28,-6.46,24.75,0.0,0.0,2.5,16.88,183.62,-10.75,24.5,-12.5,0.0,2.5,19.2,197.74,-2.88,34.75,-6.25,0.0,1.92,3.03,46.2,-2.64,34.0,6.25,0.0,1.82,4.45,23.78,-10.59,24.5,6.25,0.0,2.5,17.08,-8.8,-6.65,30.9,0.0,0.0,1.82,4.75,-1
1.0800000000000003,172.79975038106173,-5.994976718999708,25.91,0,3.951515772238286e-165,2.73,6.87,434.87,-10.68,24.75,0.0,0.0,2.5,16.98,198.27,-6.46,24.75,6.25,0.01,2.5,16.88,184.6,-10.75,24.0,6.25,0.0,2.5,19.2,199.13,-2.88,34.5,6.25,0.0,1.92,3.03,47.55,-2.64,34.25,0.0,0.0,1.82,4.45,24.76,-10.59,24.75,0.0,6.273,2.5,17.08,-7.57,-6.65,30.9,0.0,0.0,1.82,4.75,-1
1.1200000000000003,173.8361503810617,-5.994976718999708,25.91,0,3.8127286372048654e-171,2.73,6.87,435.86,-10.68,24.75,0.0,0.0,2.5,16.98,199.26,-6.45,25.0,-6.25,0.0,2.5,16.88,185.56,-10.75,24.25,0.0,0.0,2.5,19.2,200.51,-2.88,34.75,0.0,0.0,1.92,3.03,48.93,-2.64,34.25,6.25,0.0,1.82,4.45,25.75,-10.6,24.75,6.25,0.0,2.5,17.08,-6.33,-6.65,30.9,0.0,0.0,1.82,4.75,-1
1.1600000000000004,174.8725503810617,-5.994976718999708,25.91,0,3.678816053521246e-177,2.73,6.87,436.85,-10.68,24.75,0.0,0.0,2.5,16.98,200.26,-6.45,24.75,6.25,0.01,2.5,16.88,186.53,-10.75,24.25,0.0,0.0,2.5,19.2,201.9,-2.88,34.75,-12.5,0.0,1.92,3.03,50.3,-2.64,34.5,-6.25,0.0,1.82,4.45,26.74,-10.6,25.0,-12.5,0.0,2.5,17.08,-5.09,-6.65,30.9,0.0,0.0,1.82,4.75,-1
1.2000000000000004,175.9089503810617,-5.994976718999708,25.91,0,3.5496068155820233e-183,2.73,6.87,437.84,-10.68,24.75,0.0,0.0,2.5,16.98,201.25,-6.44,25.0,-6.25,0.0,2.5,16.88,187.5,-10.75,24.25,0.0,0.0,2.5,19.2,203.29,-2.88,34.25,6.25,0.007,1.92,3.03,51.68,-2.64,34.25,0.0,0.0,1.82,4.45,27.74,-10.6,24.5,0.0,0.0,2.5,17.08,-3.86,-6.65,30.9,0.0,0.0,1.82,4.75,-1
1.2400000000000004,176.94535038106167,-5.994976718999708,25.91,0,3.4249357296156222e-189,2.73,6.87,438.83,-10.68,24.75,0.0,0.0,2.5,16.98,202.25,-6.44,24.75,0.0,0.01,2.5,16.88,188.47,-10.75,24.25,0.0,0.01,2.5,19.2,204.66,-2.87,34.5,0.0,0.0,1.92,3.03,53.05,-2.64,34.25,-6.25,0.0,1.82,4.45,28.72,-10.6,24.5,-6.25,0.0,2.5,17.08,-2.62,-6.65,30.9,0.0,0.0,1.82,4.75,-1
1.2800000000000005,177.98175038106166,-5.994976718999708,25.91,0,3.3046434044787888e-195,2.73,6.87,439.82,-10.68,24.75,0.0,0.0,2.5,16.98,203.24,-6.43,24.75,0.0,0.0,2.5,16.88,189.44,-10.74,24.25,0.0,0.0,2.5,19.2,206.04,-2.87,34.5,12.5,0.0,1.92,3.03,54.41,-2.64,34.0,0.0,0.0,1.82,4.45,29.7,-10.6,24.25,0.0,6.273,2.5,17.08,-1.39,-6.65,30.9,0.0,0.0,1.82,4.75,-1
1.3200000000000005,179.01815038106164,-5.994976718999708,25.91,0,3.1885760474482975e-201,2.73,6.87,440.81,-10.68,24.75,0.0,0.0,2.5,16.98,204.23,-6.43,24.75,12.5,0.0,2.5,16.88,190.41,-10.74,24.25,-6.25,0.0,2.5,19.2,207.42,-2.87,35.0,-6.25,0.007,1.92,3.03,55.77,-2.64,34.0,0.0,0.0,1.82,4.45,30.67,-10.61,24.25,0.0,0.0,2.5,17.08,-0.15,-6.65,30.9,0.0,0.0,1.82,4.75,-1
1.3600000000000005,180.05455038106163,-5.994976718999708,25.91,0,3.0765852672620213e-207,2.73,6.87,441.8,-10.68,24.75,0.0,0.0,2.5,16.98,205.22,-6.43,25.25,-12.5,0.01,2.5,16.88,191.38,-10.74,24.0,0.0,0.0,2.5,19.2,208.82,-2.86,34.75,0.0,0.0,1.92,3.03,57.13,-2.64,34.0,0.0,0.0,1.82,4.45,31.64,-10.61,24.25,-6.25,0.0,2.5,17.08,1.09,-6.65,30.9,0.0,0.0,1.82,4.75,-1
1.4000000000000006,181.09095038106162,-5.994976718999708,25.91,0,2.9685278834535904e-213,2.73,6.87,442.79,-10.68,24.75,0.0,0.0,2.5,16.98,206.23,-6.42,24.75,0.0,0.0,2.5,16.88,192.34,-10.74,24.0,6.25,0.01,2.5,19.2,210.21,-2.86,34.75,0.0,0.0,1.92,3.03,58.5,-2.64,34.0,0.0,0.0,1.82,4.45,32.61,-10.61,24.0,6.25,0.0,2.5,17.08,2.32,-6.65,30.9,0.0,0.0,1.82,4.75,-1
1.4400000000000006,182.1273503810616,-5.994976718999708,25.91,0,2.864265745908415e-219,2.73,6.87,443.78,-10.68,24.75,0.0,0.0,2.5,16.98,207.22,-6.42,24.75,6.25,0.01,2.5,16.88,193.3,-10.73,24.25,0.0,0.0,2.5,19.2,211.6,-2.86,34.75,0.0,0.007,1.92,3.03,59.86,-2.64,34.0,6.25,0.0,1.82,4.45,33.57,-10.61,24.25,6.25,0.0,2.5,17.08,3.56,-6.65,30.9,0.0,0.0,1.82,4.75,-1
1.4800000000000006,183.1637503810616,-5.994976718999708,25.91,0,2.76366555574808e-225,2.73,6.87,444.77,-10.68,24.75,0.0,0.0,2.5,16.98,208.21,-6.41,25.0,-6.25,0.0,2.5,16.88,194.27,-10.73,24.25,-6.25,0.0,2.5,19.2,212.99,-2.85,34.75,6.25,0.0,1.92,3.03,61.22,-2.64,34.25,6.25,0.0,1.82,4.45,34.54,-10.61,24.5,-6.25,6.273,2.5,17.08,4.79,-6.65,30.9,0.0,0.0,1.82,4.75,-1
1.5200000000000007,184.20015038106158,-5.994976718999708,25.91,0,2.6665986966558776e-231,2.73,6.87,445.76,-10.68,24.75,0.0,0.0,2.5,16.98,209.21,-6.41,24.75,12.5,0.01,2.5,16.88,195.24,-10.73,24.0,6.25,0.0,2.5,19.2,214.38,-2.85,35.0,0.0,0.0,1.92,3.03,62.59,-2.64,34.5,-12.5,0.0,1.82,4.45,35.52,-10.62,24.25,0.0,0.0,2.5,17.08,6.03,-6.65,30.9,-72.5,0.0,1.82,4.75,-1
1.5600000000000007,185.23655038106156,-5.994976718999708,25.91,0,2.572941069151498e-237,2.73,6.87,446.75,-10.68,24.75,0.0,0.0,2.5,16.98,210.2,-6.4,25.25,-6.25,0.0,2.5,16.88,196.2,-10.73,24.25,6.25,0.0,2.5,19.2,215.78,-2.85,35.0,0.0,0.007,1.92,3.03,63.97,-2.64,34.0,6.25,0.0,1.82,4.45,36.49,-10.62,24.25,0.0,0.0,2.5,17.08,7.26,-6.65,28.0,25.0,0.0,1.82,4.75,-1
1.6000000000000008,186.27295038106155,-5.994976718999708,25.91,0,2.482572931514483e-243,2.73,6.87,447.74,-10.68,24.75,0.0,0.0,2.5,16.98,211.21,-6.4,25.0,0.0,0.0,2.5,16.88,197.17,-10.73,24.5,-6.25,0.0,2.5,19.2,217.18,-2.84,35.0,-6.25,0.0,1.92,3.03,65.33,-2.64,34.25,-12.5,0.0,1.82,4.45,37.46,-10.62,24.25,0.0,0.0,2.5,17.08,8.38,-6.65,29.0,18.75,0.0,1.82,4.75,-1
1.6400000000000008,187.30935038106153,-5.994976718999708,25.91,0,2.395378749527318e-249,2.73,6.87,448.73,-10.68,24.75,0.0,0.0,2.5,16.98,212.21,-6.4,25.0,-6.25,0.01,2.5,16.88,198.15,-10.73,24.25,6.25,0.01,2.5,19.2,218.58,-2.84,34.75,0.0,0.0,1.92,3.03,66.69,-2.64,33.75,6.25,0.0,1.82,4.45,38.43,-10.62,24.25,0.0,0.0,2.5,17.08,9.54,-6.65,29.75,6.25,0.0,1.82,4.75,-1
1.6800000000000008,188.34575038106152,-5.994976718999708,25.91,0,2.311247045870532e-255,2.73,6.87,449.72,-10.68,24.75,0.0,0.0,2.5,16.98,213.21,-6.39,24.75,6.25,0.0,2.5,16.88,199.12,-10.72,24.5,-6.25,0.0,2.5,19.2,219.97,-2.84,34.75,6.25,0.007,1.92,3.03,68.04,-2.64,34.0,0.0,0.007,1.82,4.45,39.4,-10.62,24.25,0.0,0.0,2.5,17.08,10.73,-6.65,30.0,6.25,0.0,1.82,4.75,-1
1.7200000000000009,189.3821503810615,-5.994976718999708,25.91,0,2.2300702578112757e-261,2.73,6.87,450.71,-10.68,24.75,0.0,0.0,2.5,16.98,214.2,-6.39,25.0,0.0,0.0,2.5,16.88,200.1,-10.72,24.25,6.25,0.0,2.5,19.2,221.36,-2.83,35.0,0.0,0.0,1.92,3.03,69.41,-2.63,34.0,6.25,0.0,1.82,4.45,40.37,-10.62,24.25,0.0,6.273,2.5,17.08,11.94,-6.65,30.25,12.5,0.0,1.82,4.75,-1
1.760000000000001,190.4185503810615,-5.994976718999708,25.91,0,2.1517446021199993e-267,2.73,6.87,451.7,-10.68,24.75,0.0,0.0,2.5,16.98,215.2,-6.39,25.0,-6.25,0.01,2.5,16.88,201.07,-10.72,24.5,0.0,0.0,2.5,19.2,222.76,-2.83,35.0,0.0,0.0,1.92,3.03,70.77,-2.63,34.25,12.5,0.0,1.82,4.45,41.34,-10.63,24.25,6.25,0.0,2.5,17.08,13.14,-6.65,30.75,6.25,0.0,1.82,4.75,-1
1.800000000000001,191.45495038106148,-5.994976718999708,25.91,0,2.0761699402869474e-273,2.73,6.87,452.69,-10.68,24.75,0.0,0.0,2.5,16.98,216.2,-6.38,24.75,6.25,0.0,2.5,16.88,202.05,-10.72,24.5,0.0,0.0,2.5,19.2,224.16,-2.83,35.0,0.0,0.0,1.92,3.03,72.13,-2.63,34.75,-12.5,0.0,1.82,4.45,42.31,-10.63,24.5,6.25,0.0,2.5,17.08,14.38,-6.65,31.0,0.0,0.0,1.82,4.75,-1
1.840000000000001,192.49135038106147,-5.994976718999708,25.91,0,2.0032496497458118e-279,2.73,6.87,453.68,-10.68,24.75,0.0,0.0,2.5,16.98,217.19,-6.38,25.0,-12.5,0.0,2.5,16.88,203.03,-10.72,24.5,0.0,0.0,2.5,19.2,225.56,-2.83,35.0,0.0,0.007,1.92,3.03,73.52,-2.63,34.25,0.0,0.0,1.82,4.45,43.29,-10.63,24.75,-12.5,0.0,2.5,17.08,15.62,-6.65,31.0,0.0,0.0,1.82,4.75,-1
1.880000000000001,193.52775038106145,-5.994976718999708,25.91,0,1.932890502550069e-285,2.73,6.87,454.67,-10.68,24.75,0.0,0.0,2.5,16.98,218.19,-6.38,24.5,0.0,0.01,2.5,16.88,204.01,-10.72,24.5,0.0,0.01,2.5,19.2,226.96,-2.82,35.0,0.0,0.0,1.92,3.03,74.89,-2.63,34.25,0.0,0.0,1.82,4.45,44.28,-10.63,24.25,6.25,0.0,2.5,17.08,16.86,-6.65,31.0,-6.25,0.0,1.82,4.75,-1
1.920000000000001,194.56415038106144,-5.994976718999708,25.91,0,1.8650025448210058e-291,2.73,6.87,455.66,-10.68,24.75,0.0,0.0,2.5,16.98,219.17,-6.37,24.5,6.25,0.0,2.5,16.88,204.99,-10.71,24.5,0.0,0.0,2.5,19.2,228.36,-2.82,35.0,0.0,0.0,1.92,3.03,76.27,-2.63,34.25,-6.25,0.0,1.82,4.45,45.25,-10.63,24.5,0.0,0.0,2.5,17.08,18.09,-6.65,30.75,12.5,0.0,1.82,4.75,-1
1.960000000000001,195.60055038106142,-5.994976718999708,25.91,0,1.7994989821484535e-297,2.73,6.87,456.65,-10.68,24.75,0.0,0.0,2.5,16.98,220.15,-6.37,24.75,6.25,0.0,2.5,16.88,205.97,-10.71,24.5,6.25,0.0,2.5,19.2,229.76,-2.82,35.0,0.0,0.0,1.92,3.03,77.63,-2.63,34.0,6.25,0.007,1.82,4.45,46.23,-10.63,24.5,0.0,0.0,2.5,17.08,19.32,-6.65,31.25,0.0,0.0,1.82,4.75,-1
2.000000000000001,196.6369503810614,-5.994976718999708,25.91,0,1.7362960689241436e-303,2.73,6.87,457.64,-10.68,24.75,0.0,0.0,2.5,16.98,221.14,-6.37,25.0,-6.25,0.0,2.5,16.88,206.95,-10.71,24.75,-6.25,0.0,2.5,19.2,231.16,-2.82,35.0,0.0,0.007,1.92,3.03,78.99,-2.62,34.25,-6.25,0.0,1.82,4.45,47.21,-10.63,24.5,0.0,0.0,2.5,17.08,20.57,-6.65,31.25,-6.25,0.0,1.82,4.75,-1
2.040000000000001,197.6733503810614,-5.994976718999708,25.91,0,1.67531300051182e-309,2.73,6.87,458.63,-10.68,24.75,0.0,0.0,2.5,16.98,222.14,-6.37,24.75,6.25,0.0,2.5,16.88,207.94,-10.71,24.5,0.0,0.0,2.5,19.2,232.56,-2.81,35.0,0.0,0.0,1.92,3.03,80.36,-2.62,34.0,6.25,0.0,1.82,4.45,48.19,-10.63,24.5,-6.25,0.0,2.5,17.08,21.82,-6.65,31.0,6.25,0.0,1.82,4.75,-1
