,x_ego,y_ego,v_ego,a_ego,yaw_ego,width_ego,length_ego,x_1,y_1,v_1,a_1,yaw_1,width_1,length_1,x_2,y_2,v_2,a_2,yaw_2,width_2,length_2,x_3,y_3,v_3,a_3,yaw_3,width_3,length_3,x_4,y_4,v_4,a_4,yaw_4,width_4,length_4,x_5,y_5,v_5,a_5,yaw_5,width_5,length_5,x_6,y_6,v_6,a_6,yaw_6,width_6,length_6,end
0.5199999999999999,390.0653932866914,3.09311731303403,32.96,15.0,3.141592788426679,1.92,5.05,236.01,7.07,34.75,0.0,3.149,1.92,4.45,270.16,10.55,34.5,-6.25,3.134,1.82,4.35,354.56,6.77,24.0,6.25,3.142,2.5,16.98,369.41,2.56,40.5,-6.25,3.142,1.92,4.55,438.72,3.03,39.53,0.0,3.142,1.92,4.55,447.53,6.77,31.2,0.0,3.142,1.92,4.35,-1
0.5599999999999999,388.7469932866914,3.0931171352650795,33.56,15.0,3.1415926535898953,1.92,5.05,234.62,7.06,34.75,0.0,3.142,1.92,4.45,268.78,10.56,34.25,0.0,3.142,1.82,4.35,353.6,6.77,24.25,-6.25,3.142,2.5,16.98,367.79,2.56,40.25,0.0,3.135,1.92,4.55,437.14,3.03,39.53,0.0,3.142,1.92,4.55,446.28,6.77,31.2,0.0,3.142,1.92,4.35,-1
0.6,387.4045932866914,3.0931171352649427,34.160000000000004,15.0,3.141592653589793,1.92,5.05,233.23,7.06,34.75,-6.25,3.142,1.92,4.45,267.41,10.56,34.25,0.0,3.142,1.82,4.35,352.63,6.77,24.0,0.0,3.142,2.5,16.98,366.19,2.57,40.25,6.25,3.142,1.92,4.55,435.56,3.03,39.53,0.0,3.142,1.92,4.55,445.04,6.77,31.2,0.0,3.142,1.92,4.35,-1
0.64,386.0381932866914,3.0931171352649427,34.760000000000005,15.0,3.141592653589793,1.92,5.05,231.84,7.06,34.5,6.25,3.142,1.92,4.45,266.04,10.56,34.25,0.0,3.142,1.82,4.35,351.67,6.77,24.0,12.5,3.142,2.5,16.98,364.57,2.57,40.5,-6.25,3.135,1.92,4.55,433.98,3.03,39.53,0.0,3.142,1.92,4.55,443.79,6.77,31.2,0.0,3.142,1.92,4.35,-1
0.68,384.6477932866914,3.0931171352649427,35.36000000000001,15.0,3.141592653589793,1.92,5.05,230.47,7.06,34.75,0.0,3.149,1.92,4.45,264.67,10.56,34.25,6.25,3.134,1.82,4.35,350.71,6.77,24.5,-6.25,3.142,2.5,16.98,362.95,2.58,40.25,12.5,3.135,1.92,4.55,432.39,3.03,39.53,0.0,3.142,1.92,4.55,442.54,6.77,31.2,0.0,3.142,1.92,4.35,-1
0.7200000000000001,383.2333932866914,3.0931171352649427,35.96000000000001,15.0,3.141592653589793,1.92,5.05,229.07,7.05,34.75,6.25,3.142,1.92,4.45,263.3,10.57,34.5,-6.25,3.142,1.82,4.35,349.73,6.77,24.25,0.0,3.142,2.5,16.98,361.34,2.59,40.75,-12.5,3.142,1.92,4.55,430.81,3.03,39.53,0.0,3.142,1.92,4.55,441.29,6.77,31.2,0.0,3.142,1.92,4.35,-1
0.7600000000000001,381.7949932866914,3.0931171352649427,36.56000000000001,15.0,3.141592653589793,1.92,5.05,227.69,7.05,35.0,-6.25,3.142,1.92,4.45,261.92,10.57,34.25,12.5,3.142,1.82,4.35,348.76,6.77,24.25,0.0,3.142,2.5,16.98,359.71,2.59,40.25,12.5,3.135,1.92,4.55,429.23,3.03,39.53,0.0,3.142,1.92,4.55,440.04,6.77,31.2,0.0,3.142,1.92,4.35,-1
0.8000000000000002,380.3325932866914,3.0931171352649427,37.16000000000001,15.0,3.141592653589793,1.92,5.05,226.28,7.05,34.75,0.0,3.142,1.92,4.45,260.55,10.57,34.75,-12.5,3.142,1.82,4.35,347.79,6.77,24.25,0.0,3.142,2.5,16.98,358.1,2.6,40.75,-6.25,3.142,1.92,4.55,427.65,3.03,39.53,0.0,3.142,1.92,4.55,438.8,6.77,31.2,0.0,3.142,1.92,4.35,-1
0.8400000000000002,378.8461932866914,3.0931171352649427,37.76000000000001,15.0,3.141592653589793,1.92,5.05,224.89,7.05,34.75,6.25,3.149,1.92,4.45,259.16,10.57,34.25,6.25,3.142,1.82,4.35,346.82,6.77,24.25,-6.25,3.142,2.5,16.98,356.47,2.6,40.5,6.25,3.135,1.92,4.55,426.07,3.03,39.53,0.0,3.142,1.92,4.55,437.55,6.77,31.2,0.0,3.142,1.92,4.35,-1
0.8800000000000002,377.3357932866914,3.0931171352649427,38.360000000000014,15.0,3.141592653589793,1.92,5.05,223.5,7.04,35.0,0.0,3.142,1.92,4.45,257.79,10.57,34.5,-6.25,3.142,1.82,4.35,345.85,6.77,24.0,-6.25,3.142,2.5,16.98,354.85,2.61,40.75,-12.5,3.135,1.92,4.55,424.49,3.03,39.53,0.0,3.142,1.92,4.55,436.3,6.77,31.2,0.0,3.142,1.92,4.35,-1
0.9200000000000003,375.8013932866914,3.0931171352649427,38.960000000000015,15.0,3.141592653589793,1.92,5.05,222.1,7.04,35.0,-6.25,3.142,1.92,4.45,256.4,10.57,34.25,6.25,3.142,1.82,4.35,344.89,6.77,23.75,0.0,3.142,2.5,16.98,353.22,2.62,40.25,6.25,3.142,1.92,4.55,422.91,3.03,39.53,0.0,3.142,1.92,4.55,435.05,6.77,31.2,0.0,3.142,1.92,4.35,-1
0.9600000000000003,374.2429932866914,3.0931171352649427,39.56000000000002,15.0,3.141592653589793,1.92,5.05,220.7,7.04,34.75,0.0,3.149,1.92,4.45,255.04,10.57,34.5,-6.25,3.142,1.82,4.35,343.94,6.77,23.75,0.0,3.142,2.5,16.98,351.61,2.62,40.5,-6.25,3.135,1.92,4.55,421.33,3.03,39.53,0.0,3.142,1.92,4.55,433.8,6.77,31.2,0.0,3.142,1.92,4.35,-1
1.0000000000000002,372.6605932866914,3.0931171352649427,40.16000000000002,15.0,3.141592653589793,1.92,5.05,219.31,7.03,34.75,-6.25,3.142,1.92,4.45,253.66,10.57,34.25,0.0,3.142,1.82,4.35,342.99,6.77,23.75,0.0,3.142,2.5,16.98,350.0,2.63,40.25,6.25,3.135,1.92,4.55,419.74,3.03,39.53,0.0,3.142,1.92,4.55,432.56,6.77,31.2,0.0,3.142,1.92,4.35,-1
1.0400000000000003,371.0541932866914,3.0931171352649427,40.76000000000002,15.0,3.141592653589793,1.92,5.05,217.92,7.03,34.5,6.25,3.142,1.92,4.45,252.29,10.57,34.25,0.0,3.142,1.82,4.35,342.04,6.77,23.75,0.0,3.142,2.5,16.98,348.38,2.64,40.5,0.0,3.135,1.92,4.55,418.16,3.03,39.53,0.0,3.142,1.92,4.55,431.31,6.77,31.2,0.0,3.142,1.92,4.35,-1
1.0800000000000003,369.42379328669136,3.0931171352649427,41.36000000000002,15.0,3.141592653589793,1.92,5.05,216.54,7.03,34.75,6.25,3.149,1.92,4.45,250.92,10.57,34.25,0.0,3.142,1.82,4.35,341.09,6.77,23.75,12.5,3.142,2.5,16.98,346.76,2.65,40.5,0.0,3.135,1.92,4.55,416.58,3.03,39.53,0.0,3.142,1.92,4.55,430.06,6.77,31.2,0.0,3.142,1.92,4.35,-1
1.1200000000000003,367.76939328669135,3.0931171352649427,41.96000000000002,15.0,3.141592653589793,1.92,5.05,215.16,7.02,35.0,0.0,3.142,1.92,4.45,249.55,10.57,34.25,0.0,3.142,1.82,4.35,340.14,6.77,24.25,0.0,3.131,2.5,16.98,345.14,2.66,40.5,0.0,3.142,1.92,4.55,415.0,3.03,39.53,0.0,3.142,1.92,4.55,428.81,6.77,31.2,0.0,3.142,1.92,4.35,-1
1.1600000000000004,366.09099328669134,3.0931171352649427,42.560000000000024,15.0,3.141592653589793,1.92,5.05,213.75,7.02,35.0,-6.25,3.142,1.92,4.45,248.18,10.57,34.25,-6.25,3.142,1.82,4.35,339.17,6.78,24.25,-6.25,3.142,2.5,16.98,343.52,2.66,40.5,0.0,3.135,1.92,4.55,413.42,3.03,39.53,0.0,3.142,1.92,4.55,427.56,6.77,31.2,0.0,3.142,1.92,4.35,-1
1.2000000000000004,364.38859328669133,3.0931171352649427,42.560000000000024,0,3.141592653589793,1.92,5.05,212.35,7.02,34.75,0.0,3.149,1.92,4.45,246.81,10.57,34.0,0.0,3.149,1.82,4.35,338.2,6.78,24.0,0.0,3.142,2.5,16.98,341.9,2.67,40.5,-6.25,3.135,1.92,4.55,411.84,3.03,39.53,0.0,3.142,1.92,4.55,426.32,6.77,31.2,0.0,3.142,1.92,4.35,-1
1.2400000000000004,362.6861932866913,3.0931171352649427,42.560000000000024,0,3.141592653589793,1.92,5.05,210.97,7.01,34.75,0.0,3.142,1.92,4.45,245.45,10.56,34.0,0.0,3.142,1.82,4.35,337.24,6.78,24.0,0.0,3.142,2.5,16.98,340.28,2.68,40.25,0.0,3.135,1.92,4.55,410.26,3.03,39.53,0.0,3.142,1.92,4.55,425.07,6.77,31.2,0.0,3.142,1.92,4.35,-1
1.2800000000000005,360.9837932866913,3.0931171352649427,42.560000000000024,0,3.141592653589793,1.92,5.05,209.57,7.01,34.75,6.25,3.149,1.92,4.45,244.09,10.56,34.0,6.25,3.142,1.82,4.35,336.28,6.78,24.0,0.0,3.142,2.5,16.98,338.67,2.69,40.25,0.0,3.135,1.92,4.55,408.68,3.03,39.53,-75.75,3.142,1.92,4.55,423.82,6.77,31.2,0.0,3.142,1.92,4.35,-1
1.3200000000000005,359.2813932866913,3.0931171352649427,42.560000000000024,0,3.141592653589793,1.92,5.05,208.19,7.0,35.0,0.0,3.142,1.92,4.45,242.73,10.56,34.25,0.0,3.142,1.82,4.35,335.32,6.78,24.0,6.25,3.142,2.5,16.98,337.06,2.7,40.25,12.5,3.135,1.92,4.55,407.09,3.03,36.5,25.0,3.142,1.92,4.55,422.57,6.77,31.2,0.0,3.142,1.92,4.35,-1
1.3600000000000005,357.5789932866913,3.0931171352649427,42.560000000000024,0,3.141592653589793,1.92,5.05,206.78,7.0,35.0,0.0,3.142,1.92,4.45,241.36,10.56,34.25,0.0,3.142,1.82,4.35,334.36,6.78,24.25,-12.5,3.152,2.5,16.98,335.45,2.71,40.75,-12.5,3.135,1.92,4.55,405.63,3.03,37.5,18.75,3.142,1.92,4.55,421.32,6.77,31.2,0.0,3.142,1.92,4.35,-1
1.4000000000000006,355.8765932866913,3.0931171352649427,43.160000000000025,15.0,3.141592653589793,1.92,5.05,205.38,7.0,35.0,-6.25,3.149,1.92,4.45,239.99,10.56,34.25,0.0,3.142,1.82,4.35,333.39,6.77,23.75,0.0,3.142,2.5,16.98,333.82,2.72,40.25,6.25,3.135,1.92,4.55,404.13,3.03,38.25,12.5,3.142,1.92,4.55,420.08,6.77,31.2,0.0,3.142,1.92,4.35,-1
1.4400000000000006,354.15019328669126,3.0931171352649427,43.160000000000025,0,3.141592653589793,1.92,5.05,203.98,6.99,34.75,0.0,3.142,1.92,4.45,238.62,10.56,34.25,-6.25,3.149,1.82,4.35,332.44,6.77,23.75,-6.25,3.142,2.5,16.98,332.21,2.73,40.5,-6.25,3.135,1.92,4.55,402.6,3.03,38.75,6.25,3.142,1.92,4.55,418.83,6.77,31.2,0.0,3.142,1.92,4.35,-1
1.4800000000000006,352.42379328669125,3.0931171352649427,43.160000000000025,0,3.141592653589793,1.92,5.05,202.59,6.99,34.75,6.25,3.149,1.92,4.45,237.25,10.55,34.0,0.0,3.142,1.82,4.35,331.49,6.77,23.5,12.5,3.142,2.5,16.98,330.59,2.74,40.25,6.25,3.135,1.92,4.55,401.05,3.03,39.0,12.5,3.142,1.92,4.55,417.58,6.77,31.2,0.0,3.142,1.92,4.35,-1
1.5200000000000007,350.69739328669124,3.0931171352649427,43.160000000000025,0,3.141592653589793,1.92,5.05,201.2,6.98,35.0,0.0,3.142,1.92,4.45,235.89,10.55,34.0,6.25,3.142,1.82,4.35,330.55,6.77,24.0,0.0,3.142,2.5,16.98,328.98,2.75,40.5,-6.25,3.129,1.92,4.55,399.5,3.03,39.5,6.25,3.135,1.92,4.55,416.33,6.77,31.2,0.0,3.142,1.92,4.35,-1
1.5600000000000007,348.9709932866912,3.0931171352649427,43.160000000000025,0,3.141592653589793,1.92,5.05,199.81,6.98,35.0,0.0,3.142,1.92,4.45,234.53,10.55,34.25,0.0,3.142,1.82,4.35,329.59,6.77,24.0,0.0,3.142,2.5,16.98,327.36,2.77,40.25,6.25,3.135,1.92,4.55,397.91,3.04,39.75,0.0,3.142,1.92,4.55,415.08,6.77,31.2,0.0,3.142,1.92,4.35,-1
1.6000000000000008,347.2445932866912,3.0931171352649427,43.160000000000025,0,3.141592653589793,1.92,5.05,198.41,6.98,35.0,0.0,3.149,1.92,4.45,233.16,10.55,34.25,0.0,3.142,1.82,4.35,328.63,6.77,24.0,-6.25,3.142,2.5,16.98,325.75,2.78,40.5,-6.25,3.135,1.92,4.55,396.32,3.04,39.75,6.25,3.142,1.92,4.55,413.84,6.77,31.2,0.0,3.142,1.92,4.35,-1
1.6400000000000008,345.5181932866912,3.0931171352649427,43.160000000000025,0,3.141592653589793,1.92,5.05,197.0,6.97,35.0,0.0,3.142,1.92,4.45,231.79,10.55,34.25,-6.25,3.149,1.82,4.35,327.67,6.77,23.75,0.0,3.142,2.5,16.98,324.13,2.79,40.25,-6.25,3.135,1.92,4.55,394.73,3.04,40.0,-6.25,3.142,1.92,4.55,412.59,6.77,31.2,0.0,3.142,1.92,4.35,-1
1.6800000000000008,343.7917932866912,3.0931171352649427,43.160000000000025,0,3.141592653589793,1.92,5.05,195.6,6.97,35.0,0.0,3.149,1.92,4.45,230.42,10.54,34.0,12.5,3.142,1.82,4.35,326.72,6.77,23.75,-6.25,3.142,2.5,16.98,322.52,2.8,40.0,-6.25,3.135,1.92,4.55,393.13,3.04,39.75,6.25,3.135,1.92,4.55,411.34,6.77,31.2,0.0,3.142,1.92,4.35,-1
1.7200000000000009,342.0653932866912,3.0931171352649427,43.160000000000025,0,3.141592653589793,1.92,5.05,194.2,6.96,35.0,0.0,3.142,1.92,4.45,229.06,10.54,34.5,-6.25,3.142,1.82,4.35,325.77,6.77,23.5,6.25,3.142,2.5,16.98,320.92,2.81,39.75,6.25,3.135,1.92,4.55,391.54,3.05,40.0,-6.25,3.142,1.92,4.55,410.09,6.77,31.2,-67.5,3.142,1.92,4.35,-1
1.760000000000001,340.33899328669116,3.0931171352649427,43.160000000000025,0,3.141592653589793,1.92,5.05,192.81,6.96,35.0,0.0,3.149,1.92,4.45,227.68,10.54,34.25,0.0,3.142,1.82,4.35,324.83,6.77,23.75,-6.25,3.142,2.5,16.98,319.33,2.82,40.0,0.0,3.135,1.92,4.55,389.94,3.05,39.75,0.0,3.142,1.92,4.55,408.85,6.77,28.5,25.0,3.142,1.92,4.35,-1
1.800000000000001,338.61259328669115,3.0931171352649427,43.69799023740111,13.449755935027026,3.141592653589793,1.92,5.05,191.41,6.95,35.0,12.5,3.142,1.92,4.45,226.31,10.54,34.25,6.25,3.142,1.82,4.35,323.88,6.77,23.5,6.25,3.152,2.5,16.98,317.73,2.83,40.0,12.5,3.135,1.92,4.55,388.35,3.05,39.75,0.0,3.142,1.92,4.55,407.7,6.77,29.5,12.5,3.142,1.92,4.35,-1
1.840000000000001,336.8646736771951,3.0931171352649427,43.69799023740111,0,3.141592653589793,1.92,5.05,190.0,6.95,35.5,-6.25,3.149,1.92,4.45,224.94,10.54,34.5,-6.25,3.149,1.82,4.35,322.94,6.76,23.75,6.25,3.142,2.5,16.98,316.13,2.84,40.5,-6.25,3.135,1.92,4.55,386.76,3.05,39.75,-6.25,3.135,1.92,4.55,406.53,6.77,30.0,12.5,3.15,1.92,4.35,-1
1.880000000000001,335.1167540676991,3.0931171352649427,43.69799023740111,0,3.141592653589793,1.92,5.05,188.59,6.94,35.25,-6.25,3.142,1.92,4.45,223.56,10.53,34.25,0.0,3.142,1.82,4.35,321.99,6.76,24.0,-12.5,3.142,2.5,16.98,314.51,2.85,40.25,-6.25,3.135,1.92,4.55,385.17,3.06,39.5,-6.25,3.142,1.92,4.55,405.32,6.76,30.5,0.0,3.142,1.92,4.35,-1
1.920000000000001,333.3688344582031,3.0931171352649427,43.69799023740111,0,3.141592653589793,1.92,5.05,187.17,6.94,35.0,6.25,3.149,1.92,4.45,222.19,10.53,34.25,0.0,3.142,1.82,4.35,321.03,6.76,23.5,12.5,3.142,2.5,16.98,312.9,2.86,40.0,0.0,3.135,1.92,4.55,383.59,3.06,39.25,0.0,3.142,1.92,4.55,404.11,6.76,30.5,6.25,3.142,1.92,4.35,-1
1.960000000000001,331.62091484870706,3.0931171352649427,43.69799023740111,0,3.141592653589793,1.92,5.05,185.78,6.93,35.25,0.0,3.142,1.92,4.45,220.81,10.53,34.25,-6.25,3.142,1.82,4.35,320.09,6.76,24.0,-6.25,3.142,2.5,16.98,311.3,2.87,40.0,0.0,3.135,1.92,4.55,382.02,3.06,39.25,0.0,3.135,1.92,4.55,402.88,6.76,30.75,0.0,3.15,1.92,4.35,-1
2.000000000000001,329.87299523921104,3.0931171352649427,43.69799023740111,0,3.141592653589793,1.92,5.05,184.36,6.93,35.25,0.0,3.149,1.92,4.45,219.45,10.53,34.0,0.0,3.142,1.82,4.35,319.13,6.76,23.75,6.25,3.152,2.5,16.98,309.7,2.88,40.0,0.0,3.135,1.92,4.55,380.45,3.07,39.25,6.25,3.142,1.92,4.55,401.66,6.75,30.75,12.5,3.142,1.92,4.35,-1
2.040000000000001,328.125075629715,3.0931171352649427,43.69799023740111,0,3.141592653589793,1.92,5.05,182.95,6.92,35.25,0.0,3.142,1.92,4.45,218.09,10.53,34.0,6.25,3.142,1.82,4.35,318.18,6.75,24.0,-6.25,3.142,2.5,16.98,308.1,2.89,40.0,6.25,3.135,1.92,4.55,378.88,3.07,39.5,0.0,3.142,1.92,4.55,400.43,6.75,31.25,6.25,3.142,1.92,4.35,-1
2.080000000000001,326.377156020219,3.0931171352649427,43.69799023740111,0,3.141592653589793,1.92,5.05,181.54,6.92,35.25,0.0,3.149,1.92,4.45,216.73,10.53,34.25,-6.25,3.149,1.82,4.35,317.22,6.75,23.75,0.0,3.142,2.5,16.98,306.5,2.9,40.25,-12.5,3.142,1.92,4.55,377.3,3.07,39.5,0.0,3.135,1.92,4.55,399.18,6.75,31.5,0.0,3.142,1.92,4.35,-1
2.120000000000001,324.62923641072297,3.0931171352649427,43.69799023740111,0,3.141592653589793,1.92,5.05,180.13,6.91,35.25,0.0,3.142,1.92,4.45,215.36,10.52,34.0,6.25,3.142,1.82,4.35,316.27,6.75,23.75,0.0,3.142,2.5,16.98,304.89,2.9,39.75,6.25,3.135,1.92,4.55,375.72,3.08,39.5,0.0,3.142,1.92,4.55,397.92,6.75,31.5,-6.25,3.15,1.92,4.35,-1
2.160000000000001,322.88131680122694,3.0931171352649427,43.69799023740111,0,3.141592653589793,1.92,5.05,178.72,6.91,35.25,0.0,3.149,1.92,4.45,214.0,10.52,34.25,-6.25,3.142,1.82,4.35,315.32,6.75,23.75,0.0,3.142,2.5,16.98,303.3,2.91,40.0,-6.25,3.135,1.92,4.55,374.14,3.08,39.5,-6.25,3.142,1.92,4.55,396.66,6.74,31.25,12.5,3.142,1.92,4.35,-1
2.200000000000001,321.1333971917309,3.0931171352649427,43.69799023740111,0,3.141592653589793,1.92,5.05,177.31,6.9,35.25,0.0,3.142,1.92,4.45,212.62,10.52,34.0,0.0,3.142,1.82,4.35,314.37,6.75,23.75,0.0,3.152,2.5,16.98,301.7,2.92,39.75,6.25,3.135,1.92,4.55,372.56,3.08,39.25,6.25,3.135,1.92,4.55,395.41,6.74,31.75,0.0,3.142,1.92,4.35,-1
2.240000000000001,319.3854775822349,3.0931171352649427,43.69799023740111,0,3.141592653589793,1.92,5.05,175.91,6.9,35.25,0.0,3.149,1.92,4.45,211.27,10.52,34.0,6.25,3.142,1.82,4.35,313.42,6.74,23.75,0.0,3.142,2.5,16.98,300.11,2.93,40.0,0.0,3.135,1.92,4.55,371.0,3.09,39.5,-6.25,3.142,1.92,4.55,394.13,6.74,31.75,0.0,3.149,1.92,4.35,-1
2.280000000000001,317.6375579727389,3.0931171352649427,43.69799023740111,0,3.141592653589793,1.92,5.05,174.5,6.89,35.25,0.0,3.142,1.92,4.45,209.91,10.52,34.25,-6.25,3.142,1.82,4.35,312.47,6.74,23.75,-12.5,3.142,2.5,16.98,298.51,2.94,40.0,0.0,3.142,1.92,4.55,369.41,3.09,39.25,-6.25,3.142,1.92,4.55,392.87,6.73,31.75,0.0,3.142,1.92,4.35,-1
2.320000000000001,315.88963836324285,3.0931171352649427,43.69799023740111,0,3.141592653589793,1.92,5.05,173.09,6.89,35.25,0.0,3.149,1.92,4.45,208.54,10.52,34.0,6.25,3.149,1.82,4.35,311.52,6.74,23.25,6.25,3.142,2.5,16.98,296.91,2.94,40.0,0.0,3.135,1.92,4.55,367.84,3.09,39.0,0.0,3.142,1.92,4.55,391.6,6.73,31.75,-12.5,3.149,1.92,4.35,-1
2.360000000000001,314.14171875374683,3.0931171352649427,43.69799023740111,0,3.141592653589793,1.92,5.05,171.67,6.88,35.25,-6.25,3.142,1.92,4.45,207.18,10.51,34.25,-6.25,3.142,1.82,4.35,310.59,6.74,23.5,0.0,3.152,2.5,16.98,295.31,2.95,40.0,0.0,3.135,1.92,4.55,366.28,3.09,39.0,6.25,3.135,1.92,4.55,390.32,6.72,31.25,6.25,3.142,1.92,4.35,-1
