,x_ego,y_ego,v_ego,a_ego,yaw_ego,width_ego,length_ego,x_1,y_1,v_1,a_1,yaw_1,width_1,length_1,x_2,y_2,v_2,a_2,yaw_2,width_2,length_2,x_3,y_3,v_3,a_3,yaw_3,width_3,length_3,x_4,y_4,v_4,a_4,yaw_4,width_4,length_4,x_5,y_5,v_5,a_5,yaw_5,width_5,length_5,x_6,y_6,v_6,a_6,yaw_6,width_6,length_6,x_7,y_7,v_7,a_7,yaw_7,width_7,length_7,x_8,y_8,v_8,a_8,yaw_8,width_8,length_8,end
0.7200000000000001,271.3831412856293,6.550000000000002,36.663976439628584,0,3.141592653589793,1.92,4.04,221.68,6.69,23.25,0.0,3.142,2.5,16.98,250.34,2.63,35.5,12.5,3.142,2.02,5.15,289.18,10.81,25.0,6.25,3.142,2.5,19.4,328.31,6.2,33.0,12.5,3.149,2.02,4.55,353.08,10.48,24.25,6.25,3.142,1.82,4.04,356.24,6.4,31.75,12.5,3.134,2.02,4.95,428.79,6.9,23.79,0.0,3.142,2.5,12.63,476.23,3.02,37.08,0.0,3.142,2.02,4.75,-1
0.7600000000000001,269.91658222804415,6.550000000000002,36.663976439628584,0,3.141592653589793,1.92,4.04,220.75,6.69,23.25,0.0,3.142,2.5,16.98,248.92,2.63,36.0,-12.5,3.149,2.02,5.15,288.18,10.81,25.25,-12.5,3.142,2.5,19.4,327.0,6.19,33.5,-12.5,3.157,2.02,4.55,352.11,10.48,24.5,-6.25,3.131,1.82,4.04,354.97,6.41,32.25,0.0,3.134,2.02,4.95,427.84,6.9,23.79,0.0,3.142,2.5,12.63,474.75,3.02,37.08,0.0,3.142,2.02,4.75,-1
0.8000000000000002,268.450023170459,6.550000000000002,36.06397643962858,-15.0,3.141592653589793,1.92,4.04,219.82,6.69,23.25,6.25,3.142,2.5,16.98,247.48,2.62,35.5,6.25,3.142,2.02,5.15,287.17,10.81,24.75,6.25,3.142,2.5,19.4,325.65,6.17,33.0,6.25,3.157,2.02,4.55,351.13,10.49,24.25,6.25,3.131,1.82,4.04,353.68,6.42,32.25,-6.25,3.126,2.02,4.95,426.89,6.9,23.79,0.0,3.142,2.5,12.63,473.27,3.02,37.08,0.0,3.142,2.02,4.75,-1
0.8400000000000002,267.0074641128739,6.550000000000002,36.06397643962858,0,3.141592653589793,1.92,4.04,218.89,6.69,23.5,6.25,3.142,2.5,16.98,246.06,2.62,35.75,-6.25,3.142,2.02,5.15,286.18,10.81,25.0,0.0,3.132,2.5,19.4,324.33,6.15,33.25,-6.25,3.149,2.02,4.55,350.16,10.5,24.5,-6.25,3.131,1.82,4.04,352.39,6.44,32.0,0.0,3.134,2.02,4.95,425.93,6.9,23.79,0.0,3.142,2.5,12.63,471.78,3.02,37.08,0.0,3.142,2.02,4.75,-1
0.8800000000000002,265.56490505528876,6.550000000000002,36.06397643962858,0,3.141592653589793,1.92,4.04,217.95,6.69,23.75,6.25,3.152,2.5,16.98,244.63,2.62,35.5,0.0,3.142,2.02,5.15,285.18,10.82,25.0,0.0,3.142,2.5,19.4,323.0,6.14,33.0,0.25,3.157,2.02,4.55,349.18,10.51,24.25,6.25,3.131,1.82,4.04,351.11,6.45,32.0,0.0,3.134,2.02,4.95,424.98,6.9,23.79,0.0,3.142,2.5,12.63,470.3,3.02,37.08,0.0,3.142,2.02,4.75,-1
0.9200000000000003,264.12234599770363,6.550000000000002,36.06397643962858,0,3.141592653589793,1.92,4.04,217.0,6.68,24.0,-6.25,3.142,2.5,16.98,243.21,2.62,35.5,0.0,3.142,2.02,5.15,284.18,10.82,25.0,6.25,3.142,2.5,19.4,321.69,6.12,33.01,18.5,3.164,2.02,4.55,348.21,10.52,24.5,12.5,3.131,1.82,4.04,349.83,6.46,32.0,12.5,3.126,2.02,4.95,424.03,6.9,23.79,0.0,3.142,2.5,12.63,468.82,3.02,37.08,0.0,3.142,2.02,4.75,-1
0.9600000000000003,262.6797869401185,6.550000000000002,36.06397643962858,0,3.141592653589793,1.92,4.04,216.04,6.68,23.75,-6.25,3.142,2.5,16.98,241.79,2.62,35.5,0.0,3.142,2.02,5.15,283.18,10.82,25.25,0.0,3.142,2.5,19.4,320.36,6.09,33.75,-6.25,3.156,2.02,4.55,347.23,10.53,25.0,-6.25,3.132,1.82,4.04,348.55,6.48,32.5,0.0,3.134,2.02,4.95,423.08,6.9,23.79,0.0,3.142,2.5,12.63,467.33,3.02,37.08,0.0,3.142,2.02,4.75,-1
1.0000000000000002,261.2372278825334,6.550000000000002,36.06397643962858,0,3.141592653589793,1.92,4.04,215.09,6.68,23.5,6.25,3.142,2.5,16.98,240.38,2.62,35.5,6.25,3.142,2.02,5.15,282.17,10.82,25.25,0.0,3.142,2.5,19.4,319.01,6.07,33.5,6.25,3.157,2.02,4.55,346.23,10.54,24.75,12.5,3.131,1.82,4.04,347.25,6.49,32.5,0.0,3.126,2.02,4.95,422.13,6.9,23.79,0.0,3.142,2.5,12.63,465.85,3.02,37.08,0.0,3.142,2.02,4.75,-1
1.0400000000000003,259.79466882494825,6.550000000000002,35.46397643962858,-15.0,3.141592653589793,1.92,4.04,214.15,6.68,23.75,0.0,3.142,2.5,16.98,238.95,2.62,35.75,-6.25,3.142,2.02,5.15,281.16,10.82,25.25,-6.25,3.142,2.5,19.4,317.67,6.05,33.75,0.25,3.156,2.02,4.55,345.24,10.55,25.25,-6.25,3.142,1.82,4.04,345.95,6.51,32.5,0.0,3.134,2.02,4.95,421.18,6.9,23.79,0.0,3.142,2.5,12.63,464.37,3.02,37.08,0.0,3.142,2.02,4.75,-1
1.0800000000000003,258.3761097673631,6.550000000000002,35.46397643962858,0,3.141592653589793,1.92,4.04,213.2,6.68,23.75,-6.25,3.142,2.5,16.98,237.52,2.62,35.5,0.0,3.142,2.02,5.15,280.15,10.82,25.0,6.25,3.142,2.5,19.4,316.32,6.03,33.76,-12.5,3.164,2.02,4.55,344.23,10.55,25.0,-12.5,3.132,1.82,4.04,344.65,6.52,32.5,-12.5,3.126,2.02,4.95,420.23,6.9,23.79,0.0,3.142,2.5,12.63,462.88,3.02,37.08,0.0,3.142,2.02,4.75,-1
1.1200000000000003,256.957550709778,6.550000000000002,35.46397643962858,0,3.141592653589793,1.92,4.04,212.25,6.68,23.5,6.25,3.142,2.5,16.98,236.1,2.62,35.5,6.25,3.142,2.02,5.15,279.15,10.82,25.25,0.0,3.142,2.5,19.4,314.97,6.0,33.26,12.25,3.164,2.02,4.55,343.23,10.56,24.5,12.5,3.131,1.82,4.04,343.35,6.54,32.0,12.5,3.134,2.02,4.95,419.27,6.9,23.79,0.0,3.142,2.5,12.63,461.4,3.02,37.08,0.0,3.142,2.02,4.75,-1
1.1600000000000004,255.53899165219283,6.550000000000002,34.86397643962858,-15.0,3.141592653589793,1.92,4.04,211.31,6.68,23.75,0.0,3.152,2.5,16.98,234.69,2.62,35.75,-6.25,3.142,2.02,5.15,278.14,10.82,25.25,-6.25,3.142,2.5,19.4,313.64,5.97,33.75,0.25,3.156,2.02,4.55,342.25,10.57,25.0,-12.5,3.132,1.82,4.04,342.06,6.55,32.5,-12.5,3.126,2.02,4.95,418.32,6.9,23.79,0.0,3.142,2.5,12.63,459.92,3.02,37.08,0.0,3.142,2.02,4.75,-1
1.2000000000000004,254.14443259460768,6.550000000000002,34.86397643962858,0,3.141592653589793,1.92,4.04,210.36,6.67,23.75,0.0,3.142,2.5,16.98,233.25,2.62,35.5,0.0,3.142,2.02,5.15,277.13,10.82,25.0,6.25,3.152,2.5,19.4,312.29,5.95,33.76,-6.25,3.164,2.02,4.55,341.25,10.58,24.5,6.25,3.131,1.82,4.04,340.77,6.57,32.0,0.0,3.126,2.02,4.95,417.37,6.9,23.79,0.0,3.142,2.5,12.63,458.43,3.02,37.08,0.0,3.142,2.02,4.75,-1
1.2400000000000004,252.74987353702252,6.550000000000002,34.86397643962858,0,3.141592653589793,1.92,4.04,209.41,6.67,23.75,0.0,3.142,2.5,16.98,231.83,2.62,35.5,-6.25,3.142,2.02,5.15,276.13,10.81,25.25,-6.25,3.142,2.5,19.4,310.94,5.92,33.51,0.0,3.164,2.02,4.55,340.27,10.59,24.75,-6.25,3.131,1.82,4.04,339.49,6.59,32.0,0.0,3.134,2.02,4.95,416.42,6.9,23.79,0.0,3.142,2.5,12.63,456.95,3.02,37.08,0.0,3.142,2.02,4.75,-1
1.2800000000000005,251.35531447943737,6.550000000000002,34.86397643962858,0,3.141592653589793,1.92,4.04,208.46,6.67,23.75,-6.25,3.142,2.5,16.98,230.41,2.62,35.25,0.0,3.142,2.02,5.15,275.12,10.81,25.0,0.0,3.142,2.5,19.4,309.6,5.89,33.51,0.0,3.164,2.02,4.55,339.28,10.6,24.5,0.0,3.131,1.82,4.04,338.21,6.6,32.0,0.0,3.126,2.02,4.95,415.47,6.9,23.79,0.0,3.142,2.5,12.63,455.47,3.02,37.08,0.0,3.142,2.02,4.75,-1
1.3200000000000005,249.9607554218522,6.550000000000002,34.86397643962858,0,3.141592653589793,1.92,4.04,207.51,6.67,23.5,0.0,3.142,2.5,16.98,229.0,2.62,35.25,6.25,3.142,2.02,5.15,274.12,10.81,25.0,0.0,3.142,2.5,19.4,308.26,5.86,33.51,-6.0,3.164,2.02,4.55,338.3,10.61,24.5,-12.5,3.131,1.82,4.04,336.93,6.62,32.0,6.25,3.134,2.02,4.95,414.52,6.9,23.79,0.0,3.142,2.5,12.63,453.98,3.02,37.08,0.0,3.142,2.02,4.75,-1
1.3600000000000005,248.56619636426706,6.550000000000002,34.26397643962858,-15.0,3.141592653589793,1.92,4.04,206.57,6.67,23.5,0.0,3.142,2.5,16.98,227.59,2.62,35.5,0.0,3.142,2.02,5.15,273.12,10.81,25.0,0.0,3.142,2.5,19.4,306.92,5.83,33.27,12.25,3.172,2.02,4.55,337.32,10.62,24.0,6.25,3.142,1.82,4.04,335.65,6.63,32.25,-6.25,3.126,2.02,4.95,413.56,6.9,23.79,0.0,3.142,2.5,12.63,452.5,3.02,37.08,0.0,3.142,2.02,4.75,-1
1.4000000000000006,247.1956373066819,6.550000000000002,34.26397643962858,0,3.141592653589793,1.92,4.04,205.63,6.67,23.5,6.25,3.142,2.5,16.98,226.17,2.62,35.5,6.25,3.142,2.02,5.15,272.12,10.81,25.0,0.0,3.142,2.5,19.4,305.59,5.79,33.76,0.0,3.164,2.02,4.55,336.36,10.62,24.25,0.0,3.131,1.82,4.04,334.36,6.65,32.0,6.25,3.134,2.02,4.95,412.61,6.9,23.79,0.0,3.142,2.5,12.63,451.02,3.02,37.08,0.0,3.142,2.02,4.75,-1
1.4400000000000006,245.82507824909675,6.550000000000002,34.26397643962858,0,3.141592653589793,1.92,4.04,204.69,6.67,23.75,0.0,3.142,2.5,16.98,224.75,2.62,35.75,-6.25,3.142,2.02,5.15,271.12,10.81,25.0,0.0,3.142,2.5,19.4,304.25,5.76,33.76,-6.25,3.171,2.02,4.55,335.39,10.63,24.25,6.25,3.131,1.82,4.04,333.08,6.66,32.25,0.0,3.126,2.02,4.95,411.66,6.9,23.79,0.0,3.142,2.5,12.63,449.53,3.02,37.08,0.0,3.142,2.02,4.75,-1
1.4800000000000006,244.4545191915116,6.550000000000002,34.26397643962858,0,3.141592653589793,1.92,4.04,203.74,6.67,23.75,-6.25,3.152,2.5,16.98,223.32,2.62,35.5,-6.25,3.142,2.02,5.15,270.12,10.81,25.0,0.0,3.152,2.5,19.4,302.89,5.72,33.51,6.25,3.164,2.02,4.55,334.42,10.64,24.5,-6.25,3.131,1.82,4.04,331.79,6.68,32.25,0.0,3.134,2.02,4.95,410.71,6.9,23.79,0.0,3.142,2.5,12.63,448.05,3.02,37.08,0.0,3.142,2.02,4.75,-1
1.5200000000000007,243.08396013392644,6.550000000000002,34.26397643962858,0,3.141592653589793,1.92,4.04,202.79,6.66,23.5,6.25,3.142,2.5,16.98,221.91,2.62,35.25,6.25,3.142,2.02,5.15,269.12,10.8,25.0,6.25,3.142,2.5,19.4,301.55,5.69,33.76,6.25,3.171,2.02,4.55,333.44,10.65,24.25,12.5,3.131,1.82,4.04,330.5,6.69,32.25,6.25,3.126,2.02,4.95,409.76,6.9,23.79,0.0,3.142,2.5,12.63,446.57,3.02,37.08,0.0,3.142,2.02,4.75,-1
1.5600000000000007,241.71340107634128,6.550000000000002,33.66397643962858,-15.0,3.141592653589793,1.92,4.04,201.85,6.66,23.75,-6.25,3.142,2.5,16.98,220.49,2.62,35.5,-6.25,3.142,2.02,5.15,268.12,10.8,25.25,-12.5,3.142,2.5,19.4,300.2,5.65,34.01,-6.25,3.171,2.02,4.55,332.47,10.66,24.75,-6.25,3.131,1.82,4.04,329.21,6.71,32.5,-12.5,3.126,2.02,4.95,408.81,6.9,23.79,0.0,3.142,2.5,12.63,445.09,3.02,37.08,0.0,3.142,2.02,4.75,-1
1.6000000000000008,240.36684201875613,6.550000000000002,33.66397643962858,0,3.141592653589793,1.92,4.04,200.9,6.66,23.5,6.25,3.142,2.5,16.98,219.07,2.62,35.25,6.25,3.142,2.02,5.15,267.11,10.8,24.75,12.5,3.142,2.5,19.4,298.84,5.61,33.76,0.0,3.164,2.02,4.55,331.48,10.67,24.5,0.0,3.131,1.82,4.04,327.91,6.73,32.0,12.5,3.134,2.02,4.95,407.85,6.9,23.79,0.0,3.142,2.5,12.63,443.6,3.02,37.08,0.0,3.142,2.02,4.75,-1
1.6400000000000008,239.02028296117098,6.550000000000002,33.66397643962858,0,3.141592653589793,1.92,4.04,199.96,6.66,23.75,0.0,3.142,2.5,16.98,217.66,2.62,35.5,0.0,3.142,2.02,5.15,266.12,10.8,25.25,0.0,3.151,2.5,19.4,297.5,5.58,33.76,6.25,3.171,2.02,4.55,330.5,10.68,24.5,6.25,3.131,1.82,4.04,326.62,6.74,32.5,-6.25,3.126,2.02,4.95,406.9,6.9,23.79,0.0,3.142,2.5,12.63,442.12,3.02,37.08,0.0,3.142,2.02,4.75,-1
1.6800000000000008,237.67372390358582,6.550000000000002,33.66397643962858,0,3.141592653589793,1.92,4.04,199.01,6.66,23.75,0.0,3.142,2.5,16.98,216.24,2.62,35.5,-6.25,3.142,2.02,5.15,265.11,10.79,25.25,-6.25,3.142,2.5,19.4,296.14,5.54,34.01,0.25,3.171,2.02,4.55,329.52,10.69,24.75,-6.25,3.131,1.82,4.04,325.33,6.76,32.25,0.0,3.134,2.02,4.95,405.95,6.9,23.79,0.0,3.142,2.5,12.63,440.64,3.02,37.08,0.0,3.142,2.02,4.75,-1
1.7200000000000009,236.32716484600067,6.550000000000002,33.063976439628576,-15.0,3.141592653589793,1.92,4.04,198.06,6.66,23.75,-6.25,3.142,2.5,16.98,214.82,2.62,35.25,0.0,3.142,2.02,5.15,264.1,10.79,25.0,-6.25,3.142,2.5,19.4,294.78,5.5,34.02,-0.25,3.178,2.02,4.55,328.53,10.7,24.5,-6.25,3.142,1.82,4.04,324.04,6.77,32.25,-12.5,3.126,2.02,4.95,405.0,6.9,23.79,0.0,3.142,2.5,12.63,439.15,3.02,37.08,0.0,3.142,2.02,4.75,-1
1.760000000000001,235.00460578841552,6.550000000000002,33.063976439628576,0,3.141592653589793,1.92,4.04,197.11,6.66,23.5,0.0,3.152,2.5,16.98,213.41,2.62,35.25,6.25,3.142,2.02,5.15,263.1,10.79,24.75,0.0,3.152,2.5,19.4,293.42,5.45,34.01,-6.25,3.171,2.02,4.55,327.55,10.7,24.25,6.25,3.131,1.82,4.04,322.75,6.79,31.75,6.25,3.126,2.02,4.95,404.05,6.9,23.79,0.0,3.142,2.5,12.63,437.67,3.02,37.08,0.0,3.142,2.02,4.75,-1
1.800000000000001,233.68204673083036,6.550000000000002,33.063976439628576,0,3.141592653589793,1.92,4.04,196.17,6.65,23.5,6.25,3.142,2.5,16.98,212.0,2.62,35.5,-6.25,3.142,2.02,5.15,262.11,10.78,24.75,6.25,3.142,2.5,19.4,292.06,5.41,33.76,12.5,3.171,2.02,4.55,326.58,10.71,24.5,12.5,3.131,1.82,4.04,321.48,6.81,32.0,12.5,3.134,2.02,4.95,403.1,6.9,23.79,-32.25,3.142,2.5,12.63,436.19,3.02,37.08,0.0,3.142,2.02,4.75,-1
1.840000000000001,232.3594876732452,6.550000000000002,32.463976439628574,-15.0,3.141592653589793,1.92,4.04,195.23,6.65,23.75,-12.5,3.142,2.5,16.98,210.58,2.62,35.25,0.0,3.142,2.02,5.15,261.12,10.78,25.0,0.0,3.142,2.5,19.4,290.71,5.37,34.26,-18.5,3.171,2.02,4.55,325.6,10.72,25.0,-25.0,3.132,1.82,4.04,320.2,6.82,32.5,-6.25,3.126,2.02,4.95,402.14,6.9,22.5,6.25,3.142,2.5,12.63,434.7,3.02,37.08,0.0,3.142,2.02,4.75,-1
1.880000000000001,231.06092861566006,6.550000000000002,32.463976439628574,0,3.141592653589793,1.92,4.04,194.28,6.65,23.25,6.25,3.142,2.5,16.98,209.17,2.62,35.25,-6.25,3.142,2.02,5.15,260.12,10.78,25.0,0.0,3.152,2.5,19.4,289.34,5.33,33.52,6.0,3.179,2.02,4.55,324.6,10.73,24.0,6.25,3.131,1.82,4.04,318.9,6.84,32.25,-6.25,3.126,2.02,4.95,401.25,6.9,22.75,6.25,3.142,2.5,12.63,433.22,3.02,37.08,0.0,3.142,2.02,4.75,-1
