,x_ego,y_ego,v_ego,a_ego,yaw_ego,width_ego,length_ego,x_1,y_1,v_1,a_1,yaw_1,width_1,length_1,x_2,y_2,v_2,a_2,yaw_2,width_2,length_2,x_3,y_3,v_3,a_3,yaw_3,width_3,length_3,x_4,y_4,v_4,a_4,yaw_4,width_4,length_4,end
0.8400000000000002,369.1967904221179,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,282.9,6.74,30.0,6.25,3.142,2.53,7.68,301.01,3.39,35.75,12.5,3.142,1.82,3.84,377.84,6.75,39.5,0.0,3.142,1.82,4.35,389.2,3.11,41.86,0.0,3.142,1.82,4.85,-1
0.8800000000000002,367.396241369161,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,281.7,6.74,30.25,-6.25,3.142,2.53,7.68,299.58,3.39,36.25,-6.25,3.142,1.82,3.84,376.25,6.75,39.5,0.0,3.142,1.82,4.35,387.52,3.11,41.86,0.0,3.142,1.82,4.85,-1
0.9200000000000003,365.59569231620407,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,280.49,6.74,30.0,6.25,3.142,2.53,7.68,298.13,3.39,36.0,12.5,3.142,1.82,3.84,374.68,6.75,39.5,6.25,3.142,1.82,4.35,385.85,3.11,41.86,0.0,3.142,1.82,4.85,-1
0.9600000000000003,363.79514326324716,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,279.29,6.74,30.25,-6.25,3.133,2.53,7.68,296.69,3.39,36.5,-6.25,3.142,1.82,3.84,373.1,6.75,39.75,-6.25,3.142,1.82,4.35,384.17,3.11,41.86,0.0,3.142,1.82,4.85,-1
1.0000000000000002,361.99459421029024,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,278.08,6.75,30.0,0.0,3.142,2.53,7.68,295.23,3.39,36.25,-6.25,3.142,1.82,3.84,371.5,6.75,39.5,-6.25,3.135,1.82,4.35,382.5,3.11,41.86,0.0,3.142,1.82,4.85,-1
1.0400000000000003,360.19404515733333,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,276.88,6.75,30.0,0.0,3.142,2.53,7.68,293.78,3.39,36.0,0.0,3.142,1.82,3.84,369.93,6.76,39.25,6.25,3.142,1.82,4.35,380.82,3.11,41.86,0.0,3.142,1.82,4.85,-1
1.0800000000000003,358.3934961043764,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,275.68,6.75,30.0,-12.5,3.142,2.53,7.68,292.34,3.39,36.0,-6.25,3.142,1.82,3.84,368.36,6.76,39.5,-25.0,3.142,1.82,4.35,379.15,3.11,41.86,0.0,3.142,1.82,4.85,-1
1.1200000000000003,356.5929470514195,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,274.48,6.75,29.5,6.25,3.142,2.53,7.68,290.9,3.39,35.75,0.0,3.142,1.82,3.84,366.78,6.76,38.5,6.25,3.142,1.82,4.35,377.47,3.11,41.86,0.0,3.142,1.82,4.85,-1
1.1600000000000004,354.7923979984626,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,273.3,6.75,29.75,0.0,3.142,2.53,7.68,289.47,3.39,35.75,6.25,3.142,1.82,3.84,365.24,6.76,38.75,-6.25,3.142,1.82,4.35,375.8,3.11,41.86,0.0,3.142,1.82,4.85,-1
1.2000000000000004,352.9918489455057,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,272.11,6.75,29.75,6.25,3.142,2.53,7.68,288.04,3.39,36.0,-6.25,3.142,1.82,3.84,363.69,6.76,38.5,12.5,3.135,1.82,4.35,374.13,3.11,41.86,0.0,3.142,1.82,4.85,-1
1.2400000000000004,351.1912998925488,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,270.92,6.75,30.0,-6.25,3.142,2.53,7.68,286.6,3.39,35.75,0.0,3.142,1.82,3.84,362.15,6.77,39.0,6.25,3.142,1.82,4.35,372.45,3.11,41.86,0.0,3.142,1.82,4.85,-1
1.2800000000000005,349.3907508395919,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,269.72,6.75,29.75,0.0,3.142,2.53,7.68,285.17,3.39,35.75,0.0,3.142,1.82,3.84,360.59,6.77,39.25,-12.5,3.142,1.82,4.35,370.78,3.11,41.86,0.0,3.142,1.82,4.85,-1
1.3200000000000005,347.59020178663496,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,268.53,6.75,29.75,6.25,3.142,2.53,7.68,283.74,3.39,35.75,0.0,3.142,1.82,3.84,359.01,6.77,38.75,0.0,3.135,1.82,4.35,369.1,3.11,41.86,0.0,3.142,1.82,4.85,-1
1.3600000000000005,345.78965273367805,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,267.34,6.75,30.0,0.0,3.142,2.53,7.68,282.31,3.39,35.75,6.25,3.142,1.82,3.84,357.47,6.78,38.75,6.25,3.142,1.82,4.35,367.43,3.11,41.86,0.0,3.142,1.82,4.85,-1
1.4000000000000006,343.98910368072114,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,266.14,6.75,30.0,-6.25,3.142,2.53,7.68,280.88,3.39,36.0,-12.5,3.149,1.82,3.84,355.92,6.78,39.0,6.25,3.135,1.82,4.35,365.75,3.11,41.86,0.0,3.142,1.82,4.85,-1
1.4400000000000006,342.18855462776423,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,264.94,6.75,29.75,6.25,3.142,2.53,7.68,279.44,3.38,35.5,6.25,3.142,1.82,3.84,354.36,6.79,39.25,-18.75,3.142,1.82,4.35,364.08,3.11,41.86,0.0,3.142,1.82,4.85,-1
1.4800000000000006,340.3880055748073,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,263.75,6.75,30.0,-6.25,3.142,2.53,7.68,278.02,3.38,35.75,-6.25,3.142,1.82,3.84,352.79,6.79,38.5,0.0,3.135,1.82,4.35,362.4,3.11,41.86,0.0,3.142,1.82,4.85,-1
1.5200000000000007,338.5874565218504,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,262.55,6.75,29.75,6.25,3.142,2.53,7.68,276.59,3.38,35.5,0.0,3.142,1.82,3.84,351.25,6.8,38.5,6.25,3.142,1.82,4.35,360.73,3.11,41.86,0.0,3.142,1.82,4.85,-1
1.5600000000000007,336.7869074688935,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,261.36,6.75,30.0,6.25,3.142,2.53,7.68,275.17,3.38,35.5,-6.25,3.149,1.82,3.84,349.7,6.8,38.75,-6.25,3.135,1.82,4.35,359.06,3.11,41.86,0.0,3.142,1.82,4.85,-1
1.6000000000000008,334.9863584159366,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,260.16,6.75,30.25,-6.25,3.142,2.53,7.68,273.75,3.37,35.25,0.0,3.142,1.82,3.84,348.16,6.81,38.5,6.25,3.135,1.82,4.35,357.38,3.11,41.86,0.0,3.142,1.82,4.85,-1
1.6400000000000008,333.1858093629797,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,258.95,6.75,30.0,0.0,3.142,2.53,7.68,272.34,3.37,35.25,12.5,3.142,1.82,3.84,346.62,6.82,38.75,0.0,3.142,1.82,4.35,355.71,3.11,41.86,0.0,3.142,1.82,4.85,-1
1.6800000000000008,331.3852603100228,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,257.75,6.75,30.0,0.0,3.142,2.53,7.68,270.93,3.37,35.75,-6.25,3.142,1.82,3.84,345.06,6.82,38.75,0.0,3.135,1.82,4.35,354.03,3.11,41.86,0.0,3.142,1.82,4.85,-1
1.7200000000000009,329.58471125706586,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,256.55,6.75,30.0,-6.25,3.15,2.53,7.68,269.5,3.37,35.5,0.0,3.149,1.82,3.84,343.51,6.83,38.75,-6.25,3.135,1.82,4.35,352.36,3.11,41.86,0.0,3.142,1.82,4.85,-1
1.760000000000001,327.78416220410895,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,255.35,6.74,29.75,6.25,3.142,2.53,7.68,268.08,3.36,35.5,6.25,3.142,1.82,3.84,341.97,6.84,38.5,6.25,3.142,1.82,4.35,350.68,3.11,41.86,0.0,3.142,1.82,4.85,-1
1.800000000000001,325.98361315115204,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,254.16,6.74,30.0,-6.25,3.142,2.53,7.68,266.66,3.36,35.75,-6.25,3.142,1.82,3.84,340.43,6.84,38.75,-6.25,3.135,1.82,4.35,349.01,3.11,41.86,0.0,3.142,1.82,4.85,-1
1.840000000000001,324.18306409819513,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,252.96,6.74,29.75,6.25,3.142,2.53,7.68,265.23,3.36,35.5,6.25,3.149,1.82,3.84,338.88,6.85,38.5,-6.25,3.135,1.82,4.35,347.34,3.11,41.86,0.0,3.142,1.82,4.85,-1
1.880000000000001,322.3825150452382,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,251.77,6.74,30.0,0.0,3.142,2.53,7.68,263.81,3.35,35.75,-6.25,3.142,1.82,3.84,337.34,6.86,38.25,6.25,3.135,1.82,4.35,345.66,3.11,41.86,0.0,3.142,1.82,4.85,-1
1.920000000000001,320.5819659922813,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,250.57,6.74,30.0,0.0,3.142,2.53,7.68,262.38,3.35,35.5,0.0,3.149,1.82,3.84,335.81,6.87,38.5,-6.25,3.135,1.82,4.35,343.99,3.11,41.86,0.0,3.142,1.82,4.85,-1
1.960000000000001,318.7814169393244,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,249.37,6.74,30.0,0.0,3.142,2.53,7.68,260.96,3.34,35.5,0.0,3.142,1.82,3.84,334.26,6.88,38.25,0.0,3.135,1.82,4.35,342.31,3.11,41.86,0.0,3.142,1.82,4.85,-1
2.000000000000001,316.9808678863675,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,248.17,6.74,30.0,-6.25,3.15,2.53,7.68,259.54,3.34,35.5,-6.25,3.149,1.82,3.84,332.74,6.89,38.25,6.25,3.135,1.82,4.35,340.64,3.11,41.86,0.0,3.142,1.82,4.85,-1
2.040000000000001,315.1803188334106,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,246.97,6.73,29.75,0.0,3.142,2.53,7.68,258.12,3.33,35.25,0.0,3.142,1.82,3.84,331.2,6.9,38.5,-6.25,3.135,1.82,4.35,338.96,3.11,41.86,0.0,3.142,1.82,4.85,-1
2.080000000000001,313.37976978045367,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,245.78,6.73,29.75,0.0,3.142,2.53,7.68,256.71,3.33,35.25,0.0,3.149,1.82,3.84,329.67,6.91,38.25,6.25,3.135,1.82,4.35,337.29,3.11,41.86,0.0,3.142,1.82,4.85,-1
2.120000000000001,311.57922072749676,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,244.59,6.73,29.75,6.25,3.142,2.53,7.68,255.3,3.32,35.25,0.0,3.142,1.82,3.84,328.13,6.92,38.5,0.0,3.135,1.82,4.35,335.61,3.11,41.86,0.0,3.142,1.82,4.85,-1
2.160000000000001,309.77867167453985,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,243.4,6.73,30.0,-6.25,3.142,2.53,7.68,253.89,3.32,35.25,-6.25,3.149,1.82,3.84,326.6,6.93,38.5,-12.5,3.135,1.82,4.35,333.94,3.11,41.86,0.0,3.142,1.82,4.85,-1
2.200000000000001,307.97812262158294,2.8350000000000026,45.013726323922626,0,3.141592653589793,2.02,5.05,242.2,6.73,29.75,0.0,3.142,2.53,7.68,252.48,3.31,35.0,6.25,3.142,1.82,3.84,325.06,6.94,38.0,6.25,3.135,1.82,4.35,332.27,3.11,41.86,0.0,3.142,1.82,4.85,-1
2.240000000000001,306.17757356862603,2.8350000000000026,44.9018640624784,-2.796556536105519,3.141592653589793,2.02,5.05,241.01,6.73,29.75,0.0,3.142,2.53,7.68,251.08,3.31,35.25,-6.25,3.149,1.82,3.84,323.54,6.95,38.25,-6.25,3.135,1.82,4.35,330.59,3.11,41.86,0.0,3.142,1.82,4.85,-1
2.280000000000001,304.3814990061269,2.8350000000000026,44.9018640624784,0,3.141592653589793,2.02,5.05,239.82,6.73,29.75,6.25,3.15,2.53,7.68,249.67,3.3,35.0,6.25,3.142,1.82,3.84,322.0,6.96,38.0,12.5,3.135,1.82,4.35,328.92,3.11,41.86,0.0,3.142,1.82,4.85,-1
2.320000000000001,302.58542444362774,2.8350000000000026,44.9018640624784,0,3.141592653589793,2.02,5.05,238.63,6.72,30.0,-6.25,3.142,2.53,7.68,248.27,3.3,35.25,-6.25,3.149,1.82,3.84,320.49,6.97,38.5,-6.25,3.135,1.82,4.35,327.24,3.11,41.86,0.0,3.142,1.82,4.85,-1
2.360000000000001,300.7893498811286,2.8350000000000026,44.9018640624784,0,3.141592653589793,2.02,5.05,237.43,6.72,29.75,6.25,3.142,2.53,7.68,246.86,3.29,35.0,6.25,3.142,1.82,3.84,318.94,6.98,38.25,0.0,3.135,1.82,4.35,325.57,3.11,41.86,0.0,3.142,1.82,4.85,-1
2.4000000000000012,298.99327531862946,2.8350000000000026,44.9018640624784,0,3.141592653589793,2.02,5.05,236.24,6.72,30.0,-12.5,3.142,2.53,7.68,245.46,3.29,35.25,-18.75,3.149,1.82,3.84,317.42,6.99,38.25,-18.75,3.135,1.82,4.35,323.89,3.11,41.86,0.0,3.142,1.82,4.85,-1
2.4400000000000013,297.1972007561303,2.8350000000000026,44.9018640624784,0,3.141592653589793,2.02,5.05,235.04,6.72,29.5,12.5,3.142,2.53,7.68,244.05,3.28,34.5,6.25,3.149,1.82,3.84,315.88,7.0,37.5,6.25,3.135,1.82,4.35,322.22,3.11,41.86,-9.0,3.142,1.82,4.85,-1
2.4800000000000013,295.40112619363117,2.8350000000000026,44.9018640624784,0,3.141592653589793,2.02,5.05,233.86,6.72,30.0,-12.5,3.142,2.53,7.68,242.67,3.27,34.75,0.0,3.142,1.82,3.84,314.38,7.01,37.75,-6.25,3.135,1.82,4.35,320.55,3.11,41.5,-6.25,3.142,1.82,4.85,-1
2.5200000000000014,293.605051631132,2.8350000000000026,44.9018640624784,0,3.141592653589793,2.02,5.05,232.66,6.72,29.5,6.25,3.15,2.53,7.68,241.28,3.27,34.75,-6.25,3.149,1.82,3.84,312.88,7.02,37.5,0.0,3.135,1.82,4.35,318.88,3.11,41.25,0.0,3.136,1.82,4.85,-1
2.5600000000000014,291.8089770686329,2.8350000000000026,44.9018640624784,0,3.141592653589793,2.02,5.05,231.48,6.71,29.75,6.25,3.142,2.53,7.68,239.89,3.26,34.5,6.25,3.149,1.82,3.84,311.38,7.03,37.5,12.5,3.135,1.82,4.35,317.24,3.12,41.25,6.25,3.136,1.82,4.85,-1
2.6000000000000014,290.01290250613374,2.8350000000000026,44.9018640624784,0,3.141592653589793,2.02,5.05,230.29,6.71,30.0,-6.25,3.142,2.53,7.68,238.51,3.25,34.75,-12.5,3.142,1.82,3.84,309.88,7.04,38.0,0.0,3.135,1.82,4.35,315.59,3.13,41.5,0.0,3.136,1.82,4.85,-1
2.6400000000000015,288.2168279436346,2.8350000000000026,44.9018640624784,0,3.141592653589793,2.02,5.05,229.09,6.71,29.75,0.0,3.142,2.53,7.68,237.12,3.25,34.25,6.25,3.149,1.82,3.84,308.36,7.05,38.0,-6.25,3.135,1.82,4.35,313.93,3.14,41.5,-6.25,3.136,1.82,4.85,-1
2.6800000000000015,286.42075338113546,2.8350000000000026,44.9018640624784,0,3.141592653589793,2.02,5.05,227.9,6.71,29.75,0.0,3.15,2.53,7.68,235.75,3.24,34.5,-6.25,3.149,1.82,3.84,306.84,7.06,37.75,0.0,3.135,1.82,4.35,312.26,3.15,41.25,0.0,3.142,1.82,4.85,-1
2.7200000000000015,284.6246788186363,2.8350000000000026,44.9018640624784,0,3.141592653589793,2.02,5.05,226.71,6.7,29.75,0.0,3.142,2.53,7.68,234.37,3.23,34.25,6.25,3.142,1.82,3.84,305.32,7.07,37.75,0.0,3.135,1.82,4.35,310.62,3.15,41.25,-6.25,3.136,1.82,4.85,-1
2.7600000000000016,282.82860425613717,2.8350000000000026,44.9018640624784,0,3.141592653589793,2.02,5.05,225.52,6.7,29.75,6.25,3.142,2.53,7.68,233.0,3.23,34.5,0.0,3.149,1.82,3.84,303.81,7.08,37.75,0.0,3.135,1.82,4.35,308.97,3.16,41.0,0.0,3.135,1.82,4.85,-1
2.8000000000000016,281.032529693638,2.8350000000000026,44.9018640624784,0,3.141592653589793,2.02,5.05,224.33,6.7,30.0,0.0,3.142,2.53,7.68,231.62,3.22,34.5,0.0,3.149,1.82,3.84,302.31,7.09,37.75,-6.25,3.142,1.82,4.35,307.32,3.17,41.0,0.0,3.142,1.82,4.85,-1
2.8400000000000016,279.2364551311389,2.8350000000000026,44.9018640624784,0,3.141592653589793,2.02,5.05,223.13,6.7,30.0,-6.25,3.15,2.53,7.68,230.24,3.21,34.5,0.0,3.142,1.82,3.84,300.8,7.09,37.5,0.0,3.135,1.82,4.35,305.69,3.17,41.0,-6.25,3.135,1.82,4.85,-1
2.8800000000000017,277.44038056863974,2.8350000000000026,44.9018640624784,0,3.141592653589793,2.02,5.05,221.93,6.69,29.75,0.0,3.142,2.53,7.68,228.86,3.21,34.5,0.0,3.149,1.82,3.84,299.3,7.1,37.5,0.0,3.135,1.82,4.35,304.05,3.18,40.75,-12.5,3.135,1.82,4.85,-1
2.9200000000000017,275.6443060061406,2.8350000000000026,44.9018640624784,0,3.141592653589793,2.02,5.05,220.74,6.69,29.75,-6.25,3.142,2.53,7.68,227.48,3.2,34.5,0.0,3.142,1.82,3.84,297.8,7.11,37.5,0.0,3.135,1.82,4.35,302.42,3.19,40.25,6.25,3.135,1.82,4.85,-1
2.9600000000000017,273.84823144364145,2.8350000000000026,44.9018640624784,0,3.141592653589793,2.02,5.05,219.55,6.69,29.5,0.0,3.142,2.53,7.68,226.1,3.2,34.5,0.0,3.149,1.82,3.84,296.3,7.12,37.5,0.0,3.135,1.82,4.35,300.81,3.2,40.5,0.0,3.142,1.82,4.85,-1
3.0000000000000018,272.0521568811423,2.8350000000000026,44.9018640624784,0,3.141592653589793,2.02,5.05,218.37,6.69,29.5,0.0,3.15,2.53,7.68,224.72,3.19,34.5,0.0,3.149,1.82,3.84,294.8,7.13,37.5,0.0,3.142,1.82,4.35,299.19,3.2,40.5,0.0,3.135,1.82,4.85,-1
3.040000000000002,270.25608231864317,2.8350000000000026,44.9018640624784,0,3.141592653589793,2.02,5.05,217.19,6.68,29.5,0.0,3.142,2.53,7.68,223.34,3.18,34.5,6.25,3.142,1.82,3.84,293.3,7.13,37.5,6.25,3.135,1.82,4.35,297.56,3.21,40.5,6.25,3.135,1.82,4.85,-1
3.080000000000002,268.460007756144,2.8350000000000026,44.9018640624784,0,3.141592653589793,2.02,5.05,216.01,6.68,29.5,6.25,3.142,2.53,7.68,221.96,3.18,34.75,-31.25,3.149,1.82,3.84,291.8,7.14,37.75,-6.25,3.135,1.82,4.35,295.94,3.22,40.75,-12.5,3.135,1.82,4.85,-1
3.120000000000002,266.6639331936449,2.8350000000000026,44.9018640624784,0,3.141592653589793,2.02,5.05,214.83,6.68,29.75,0.0,3.142,2.53,7.68,220.57,3.17,33.5,6.25,3.149,1.82,3.84,290.29,7.15,37.5,0.0,3.135,1.82,4.35,294.31,3.23,40.25,0.0,3.135,1.82,4.85,-1
3.160000000000002,264.86785863114574,2.8350000000000026,44.9018640624784,0,3.141592653589793,2.02,5.05,213.64,6.68,29.75,-6.25,3.15,2.53,7.68,219.23,3.16,33.75,6.25,3.142,1.82,3.84,288.79,7.16,37.5,-6.25,3.142,1.82,4.35,292.7,3.24,40.25,-12.5,3.142,1.82,4.85,-1
3.200000000000002,263.0717840686466,2.8350000000000026,44.9018640624784,0,3.141592653589793,2.02,5.05,212.45,6.67,29.5,0.0,3.142,2.53,7.68,217.88,3.16,34.0,-6.25,3.149,1.82,3.84,287.29,7.16,37.25,0.0,3.135,1.82,4.35,291.1,3.24,39.75,0.0,3.135,1.82,4.85,-1
